Ops, Cakes, Impl, One, Mixin, Erasure, Typer, Total, User
5, 1, true, true, 123, 285, 1092, 2485, 6.92
10, 1, true, true, 197, 428, 1561, 3700, 9.88
15, 1, true, true, 272, 536, 1882, 4466, 12.12
20, 1, true, true, 341, 717, 2179, 5411, 14.68
25, 1, true, true, 363, 759, 2392, 6047, 16.1
30, 1, true, true, 380, 835, 2621, 6599, 17.4
35, 1, true, true, 455, 802, 2821, 7110, 18.46
40, 1, true, true, 485, 883, 2962, 7573, 19.91
45, 1, true, true, 679, 942, 3239, 8402, 22.43
50, 1, true, true, 936, 967, 3614, 9490, 25.91
55, 1, true, true, 714, 1112, 3763, 9790, 26.23
60, 1, true, true, 648, 1328, 3958, 10345, 27.38
65, 1, true, true, 623, 1389, 3982, 10636, 27.79
70, 1, true, true, 618, 1437, 4159, 10974, 28.33
75, 1, true, true, 644, 1405, 4260, 11255, 29.04
80, 1, true, true, 779, 1530, 4451, 12005, 30.75
5, 6, true, true, 127, 377, 1859, 3695, 10.02
10, 6, true, true, 231, 542, 2624, 5272, 14.16
15, 6, true, true, 624, 753, 3125, 6868, 18.42
20, 6, true, true, 555, 884, 3684, 7948, 20.8
25, 6, true, true, 390, 974, 4143, 8555, 21.18
30, 6, true, true, 426, 1088, 4440, 9740, 24.6
35, 6, true, true, 467, 1154, 4790, 10193, 25.75
40, 6, true, true, 475, 1163, 5089, 10905, 27.78
45, 6, true, true, 499, 1251, 5478, 11684, 29.3
50, 6, true, true, 550, 1287, 6008, 12528, 31.89
55, 6, true, true, 560, 1317, 6282, 12950, 32.21
60, 6, true, true, 587, 1456, 6505, 13490, 33.03
65, 6, true, true, 611, 1519, 6818, 14170, 34.28
70, 6, true, true, 668, 1540, 7041, 14690, 35.66
75, 6, true, true, 668, 1593, 7419, 15172, 36.12
80, 6, true, true, 772, 1654, 7762, 16001, 38.37
5, 11, true, true, 153, 455, 2391, 4503, 12.36
10, 11, true, true, 363, 645, 3158, 6349, 16.68
15, 11, true, true, 321, 987, 3957, 7988, 20.42
20, 11, true, true, 317, 1056, 4534, 9042, 23.21
25, 11, true, true, 363, 1103, 4986, 9801, 24.26
30, 11, true, true, 390, 1129, 5346, 10723, 26.48
35, 11, true, true, 477, 1206, 5878, 11603, 28.27
40, 11, true, true, 468, 1267, 6191, 12328, 29.93
45, 11, true, true, 563, 1411, 6596, 13197, 31.97
50, 11, true, true, 616, 1435, 7158, 14056, 34.42
55, 11, true, true, 591, 1586, 7646, 14959, 36.94
60, 11, true, true, 641, 1562, 7988, 15484, 36.52
65, 11, true, true, 649, 1640, 8358, 16287, 37.66
70, 11, true, true, 646, 1605, 8875, 16772, 38.25
75, 11, true, true, 668, 1803, 9290, 17635, 39.92
80, 11, true, true, 705, 1705, 9719, 18200, 40.65
5, 16, true, true, 197, 503, 2767, 5125, 13.58
10, 16, true, true, 255, 807, 3664, 7172, 18.42
15, 16, true, true, 304, 1023, 4475, 8912, 23.31
20, 16, true, true, 294, 1165, 5049, 10032, 25.7
25, 16, true, true, 352, 1191, 5670, 11144, 27.44
30, 16, true, true, 417, 1137, 6200, 11902, 28.93
35, 16, true, true, 430, 1263, 6498, 12495, 30.09
40, 16, true, true, 438, 1350, 6822, 13058, 30.42
45, 16, true, true, 589, 1470, 7355, 14224, 34.18
50, 16, true, true, 642, 1562, 8056, 15392, 36.82
55, 16, true, true, 540, 1584, 8566, 15933, 36.69
60, 16, true, true, 611, 1643, 8927, 16651, 37.63
65, 16, true, true, 632, 1689, 9504, 17633, 39.32
70, 16, true, true, 634, 1678, 9969, 18094, 39.21
75, 16, true, true, 662, 1798, 10711, 19254, 41.66
80, 16, true, true, 663, 1704, 11306, 19937, 42.23
5, 21, true, true, 254, 554, 2928, 5610, 14.79
10, 21, true, true, 257, 788, 3915, 7698, 19.7
15, 21, true, true, 254, 999, 4676, 9077, 23.37
20, 21, true, true, 283, 1177, 5320, 10262, 25.64
25, 21, true, true, 330, 1136, 5868, 10861, 26.34
30, 21, true, true, 402, 1296, 6265, 12122, 29.27
35, 21, true, true, 425, 1342, 6933, 12965, 30.37
40, 21, true, true, 467, 1459, 7456, 14145, 33.04
45, 21, true, true, 595, 1495, 7933, 14906, 34.54
50, 21, true, true, 599, 1442, 8836, 16169, 37.44
55, 21, true, true, 585, 1689, 9381, 17103, 37.89
60, 21, true, true, 596, 1648, 10124, 17946, 39.09
65, 21, true, true, 634, 1795, 10712, 19109, 41.38
70, 21, true, true, 671, 1758, 11525, 20080, 42.75
75, 21, true, true, 711, 1791, 12155, 20940, 43.32
80, 21, true, true, 722, 1832, 13028, 22134, 45.1
5, 26, true, true, 235, 609, 3124, 5910, 15.32
10, 26, true, true, 218, 785, 4197, 7793, 19.92
15, 26, true, true, 264, 1047, 4956, 9561, 24.16
20, 26, true, true, 293, 1168, 5663, 10732, 26.81
